Iteration,Value
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,0.9990251851030753
30,0.9990251851030753
31,0.9990251851030753
32,0.9970317280843471
33,0.9970317280843471
34,0.9970317280843471
35,0.9970317280843471
36,0.9969401461696381
37,0.9969401461696381
38,0.9969401461696381
39,0.9969401461696381
40,0.9969401461696381
41,0.9969401461696381
42,0.9969401461696381
43,0.9969401461696381
44,0.9969401461696381
45,0.9969401461696381
46,0.9969401461696381
47,0.9969401461696381
48,0.9969401461696381
49,0.9969401461696381
50,0.9969401461696381
